Time,Protocol,Length,Anomaly
242.694456,0,42,-1
242.727821,4,356,-1
242.727821,4,356,-1
242.727821,4,356,-1
242.729333,4,693,-1
242.941575,4,693,-1
242.968943,2,76,-1
242.973016,2,143,-1
243.027653,4,356,-1
243.027722,4,356,-1
243.027722,4,356,-1
243.126799,2,108,-1
243.328337,4,356,-1
243.328337,4,356,-1
243.328337,4,356,-1
243.71833,0,42,-1
244.376355,4,356,-1
244.37651,4,356,-1
244.37651,4,356,-1
244.377822,4,689,-1
244.418791,4,356,-1
244.418791,4,356,-1
244.418791,4,356,-1
244.601578,4,689,-1
244.716209,4,356,-1
244.716487,4,356,-1
244.716487,4,356,-1
244.720228,16,5246,-1
244.741003,0,42,-1
245.016973,4,356,-1
245.017198,4,356,-1
245.017198,4,356,-1
245.052354,4,685,-1
245.276533,4,356,-1
245.276616,4,356,-1
245.276616,4,356,-1
245.317119,4,356,-1
245.317261,4,356,-1
245.317261,4,356,-1
245.616976,4,356,-1
245.616976,4,356,-1
245.616976,4,356,-1
245.882092,4,685,-1
245.917196,4,356,-1
245.917196,4,356,-1
245.917196,4,356,-1
246.216388,4,356,-1
246.216666,4,356,-1
246.216666,4,356,-1
246.51671,4,356,-1
246.516887,4,356,-1
246.516887,4,356,-1
246.816822,4,356,-1
246.816822,4,356,-1
246.816822,4,356,-1
247.129346,4,356,-1
247.129346,4,356,-1
247.129346,4,356,-1
247.376902,4,356,-1
247.376902,4,356,-1
247.376902,4,356,-1
247.417408,4,356,-1
247.417408,4,356,-1
247.417408,4,356,-1
247.518442,4,685,-1
247.716031,4,356,-1
247.716031,4,356,-1
247.716031,4,356,-1
248.016032,4,356,-1
248.016122,4,356,-1
248.016122,4,356,-1
248.320369,4,356,-1
248.320962,4,356,-1
248.320962,4,356,-1
248.621254,4,356,-1
248.622146,4,356,-1
248.622146,4,356,-1
248.941223,4,356,-1
248.941223,4,356,-1
248.941223,4,356,-1
249.220902,4,356,-1
249.221199,4,356,-1
249.221199,4,356,-1
249.520524,4,356,-1
249.520524,4,356,-1
249.520524,4,356,-1
249.821227,4,356,-1
249.821227,4,356,-1
249.821227,4,356,-1
250.120519,4,356,-1
250.120659,4,356,-1
250.120659,4,356,-1
250.421215,4,356,-1
250.421644,4,356,-1
250.421644,4,356,-1
250.523315,2,75,-1
250.526477,2,91,-1
250.803323,4,685,-1
251.024021,3,356,-1
251.024144,3,356,-1
251.024268,3,356,-1
251.324131,3,356,-1
251.32432,3,356,-1
251.32432,3,356,-1
251.603688,3,356,-1
251.603688,3,356,-1
251.603688,3,356,-1
251.623363,3,356,-1
251.62352,3,356,-1
251.62352,3,356,-1
251.962799,3,356,-1
251.962799,3,356,-1
251.962799,3,356,-1
252.224007,3,356,-1
252.224273,3,356,-1
252.224273,3,356,-1
252.523128,3,356,-1
252.523349,3,356,-1
252.523349,3,356,-1
252.824113,3,356,-1
252.824296,3,356,-1
252.824296,3,356,-1
253.124071,3,356,-1
253.124071,3,356,-1
253.124315,3,356,-1
253.333026,2,86,-1
253.333241,2,71,-1
253.336765,2,180,-1
253.336765,2,87,-1
253.381139,2,77,-1
253.381202,16,5026,-1
253.397816,16,5081,-1
253.418222,2,190,-1
253.422966,3,356,-1
253.423169,3,356,-1
253.423169,3,356,-1
253.481134,2,85,-1
253.481723,2,83,-1
253.484917,2,172,-1
253.485543,2,202,-1
253.532235,2,75,-1
253.534998,2,91,-1
253.60633,2,81,-1
253.607708,2,83,-1
253.608382,2,81,-1
253.609557,2,168,-1
253.610229,2,202,-1
253.610537,2,193,-1
253.753777,0,42,-1
254.108676,16,11739,-1
254.223505,16,4520,-1
254.305585,4,356,-1
254.305585,4,356,-1
254.305585,4,356,-1
254.306648,4,691,-1
254.363572,4,356,-1
254.363705,4,356,-1
254.363705,4,356,-1
254.415617,4,808,-1
254.415712,4,808,-1
254.415712,4,808,-1
254.416526,4,113,-1
254.676008,0,42,-1
254.676008,0,42,-1
254.814064,2,80,-1
254.814649,2,78,-1
254.817508,2,329,-1
254.87924,2,78,-1
254.954805,2,126,-1
255.697513,0,42,-1
255.697513,0,42,-1
256.726715,0,42,-1
258.670349,0,42,-1
258.670349,0,42,-1
259.693631,0,42,-1
259.693631,0,42,-1
260.717502,0,42,-1
260.717502,0,42,-1
262.545963,2,92,-1
262.549234,2,215,-1
263.684865,0,42,-1
264.710966,0,42,-1
265.734834,0,42,-1
266.135991,2,79,-1
266.139025,2,129,-1
267.049803,2,76,-1
267.073392,16,3247,-1
267.074025,16,3302,-1
267.114164,2,76,-1
267.180855,2,183,-1
268.027016,2,90,-1
268.030295,2,78,-1
268.032677,2,106,-1
268.033075,2,110,-1
268.177036,4,356,-1
268.177036,4,356,-1
268.177036,4,356,-1
268.177838,4,687,-1
268.216358,4,356,-1
268.216408,4,356,-1
268.216408,4,356,-1
268.288644,4,808,-1
268.288738,4,808,-1
268.288738,4,808,-1
268.289966,4,109,-1
270.247882,4,73,-1
270.259558,4,73,-1
270.439339,2,80,-1
270.442061,2,96,-1
270.471399,2,88,-1
270.474089,2,104,-1
273.236903,2,73,-1
273.243344,2,280,-1
273.635915,0,42,-1
273.661059,0,42,-1
274.09124,0,42,-1
274.091281,0,42,-1
274.746901,0,42,-1
275.666955,0,42,-1
276.690386,0,42,-1
283.548357,2,71,-1
283.551484,2,103,-1
285.238655,10,755,-1
285.249661,2,74,-1
285.252711,2,106,-1
285.701392,0,42,-1
286.726637,0,42,-1
287.751887,0,42,-1
287.751887,0,42,-1
288.673139,0,42,-1
289.503832,10,693,-1
290.722271,0,42,-1
290.722271,0,42,-1
291.727102,10,845,-1
291.753041,0,42,-1
291.753041,0,42,-1
292.668267,0,42,-1
292.668267,0,42,-1
294.713451,0,42,-1
294.922916,10,986,-1
294.925104,10,617,-1
295.739229,0,42,-1
296.660974,0,42,-1
297.499852,10,693,-1
298.548465,10,733,-1
298.751916,10,565,-1
302.426639,2,89,-1
302.432565,2,229,-1
302.744269,10,542,-1
302.747983,10,510,-1
303.02068,2,76,-1
303.023274,2,143,-1
303.214003,2,112,-1
303.245826,15,962,-1
303.246207,15,5186,-1
304.464417,15,4268,-1
304.953623,7,46,-1
305.135165,7,46,-1
305.493733,10,693,-1
305.633397,7,46,-1
305.897771,15,1584,-1
306.050026,10,743,-1
306.209402,10,986,-1
306.330457,10,570,-1
306.365475,2,71,-1
306.368208,2,87,-1
306.372803,10,505,-1
306.413806,10,1296,-1
306.49887,10,1296,-1
306.530054,10,1296,-1
306.530054,10,982,-1
306.630601,10,775,-1
306.69592,0,42,-1
306.88207,10,700,-1
306.995504,2,89,-1
306.998728,2,229,-1
307.040423,10,986,-1
307.159842,10,1126,-1
307.306937,10,509,-1
307.653141,15,1545,-1
307.653537,15,960,-1
307.720027,0,42,-1
307.75799,10,883,-1
308.260202,15,1848,-1
308.74398,0,42,-1
310.654105,15,2863,-1
310.72709,16,6707,-1
311.514817,15,876,-1
312.782244,15,731,-1
312.782803,15,2058,-1
313.127649,7,46,-1
313.26648,15,7021,-1
313.494231,10,693,-1
314.159586,15,3605,-1
314.171912,7,46,-1
314.171912,7,46,-1
314.481446,7,46,-1
314.481446,8,100,-1
314.481446,8,120,-1
314.72705,10,1128,-1
314.727101,10,489,-1
314.855791,10,685,-1
314.903712,10,1296,-1
314.904158,10,1296,-1
314.989371,10,1296,-1
315.019237,10,996,-1
315.019428,10,1296,-1
315.019498,10,1000,-1
315.022164,10,596,-1
315.0224,10,909,-1
315.055256,10,565,-1
315.195208,10,640,-1
315.195208,10,809,-1
315.195383,10,606,-1
315.199655,2,78,-1
315.202458,2,94,-1
315.472365,15,1878,-1
315.502914,8,100,-1
315.502914,8,120,-1
315.541496,15,732,-1
315.541935,15,8284,-1
315.542282,15,2824,-1
315.658862,15,1878,-1
315.86815,15,1528,-1
317.010608,15,732,-1
317.010989,15,8284,-1
317.011336,15,6512,-1
317.753643,0,42,-1
318.675676,0,42,-1
318.675676,0,42,-1
319.700524,0,42,-1
319.700524,0,42,-1
320.271831,15,930,-1
320.272227,15,8284,-1
320.272499,15,6512,-1
320.723721,0,42,-1
321.493191,10,693,-1
322.668915,0,42,-1
322.668915,0,42,-1
322.737381,2,76,-1
322.740826,2,133,-1
322.742818,10,1292,-1
322.742873,10,1292,-1
322.785861,10,964,-1
322.787871,10,1288,-1
322.78806,10,1292,-1
322.788107,10,1292,-1
322.825168,10,314,-1
322.850206,10,1292,-1
323.081158,10,986,-1
323.084672,10,1053,-1
323.284125,2,70,-1
323.287164,2,121,-1
323.332998,5,256,-1
323.372563,5,281,-1
323.388597,5,254,-1
323.430448,5,281,-1
323.695078,0,42,-1
323.695078,0,42,-1
324.617118,0,42,-1
324.718371,0,42,-1
324.718371,0,42,-1
324.718371,0,42,-1
324.718371,7,46,-1
324.821566,9,110,-1
324.821566,1,364,-1
324.821566,0,42,-1
324.821566,7,46,-1
324.821566,9,110,-1
324.821566,9,110,-1
324.925507,8,81,-1
324.925507,8,101,-1
325.027889,8,195,-1
325.027889,8,175,-1
325.027889,0,42,-1
325.132565,0,42,-1
325.132565,0,42,-1
325.132565,0,42,-1
325.132565,7,46,-1
325.132565,7,46,-1
325.132565,7,46,-1
325.229724,0,42,-1
325.333716,7,46,-1
325.333716,7,46,-1
325.437184,8,81,-1
325.437184,8,101,-1
325.437184,8,195,-1
325.437184,8,175,-1
325.437184,0,42,-1
325.538095,9,110,-1
325.641684,7,46,-1
325.641684,6,86,-1
325.641684,6,86,-1
325.641684,6,86,-1
325.641684,9,110,-1
325.641684,9,110,-1
325.745516,0,42,-1
325.745516,7,46,-1
325.745516,7,46,-1
325.847964,7,46,-1
325.847964,7,46,-1
325.847964,8,81,-1
325.847964,8,101,-1
325.847964,8,139,-1
325.949096,8,119,-1
325.949096,7,46,-1
325.949096,7,46,-1
325.949096,8,81,-1
325.949096,8,101,-1
325.949096,8,139,-1
325.949096,8,119,-1
326.153094,8,82,-1
326.153094,8,102,-1
326.153094,0,42,-1
326.153094,0,42,-1
326.153094,7,46,-1
326.153094,7,46,-1
326.153094,8,82,-1
326.153094,8,102,-1
326.356375,9,110,-1
326.356375,9,110,-1
326.356375,9,110,-1
327.075216,9,110,-1
327.075216,0,42,-1
327.177363,9,110,-1
327.177363,9,110,-1
327.210519,10,1292,-1
327.210719,10,1292,-1
327.211878,10,509,-1
327.217084,10,1292,-1
327.331734,10,1016,-1
327.335161,10,1286,-1
327.336497,10,548,-1
327.45044,10,949,-1
327.686964,0,42,-1
327.896768,7,46,-1
327.896768,7,46,-1
327.896768,7,46,-1
327.896768,7,46,-1
327.896768,8,81,-1
327.896768,8,101,-1
327.896768,8,139,-1
327.896768,8,119,-1
328.107054,0,42,-1
328.107054,7,46,-1
329.428195,8,214,-1
329.428195,8,184,-1
329.531876,8,263,-1
329.531876,8,134,-1
329.531876,8,184,-1
329.533866,10,693,-1
